Target_index,0,1,2,3,4,5,6,7,8,Variable_index,Variable_name
Ping_index,3657,3658,3659,3660,3661,3662,3663,3664,3665,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:58,13:40:58,13:40:58,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,
Ping_milliseconds,598.0,678.0,758.0,838.0,918.0,001.0,079.0,164.0,244.0,
Range,5.2578121860,5.2352841695,5.2082928929,5.1992661431,5.1948189387,5.1874554993,5.1922088156,5.1574679072,5.2208193190,
Depth,5.0995007446,5.0671273042,5.0741769113,5.0767798247,5.0975445919,5.1132151056,5.1368728075,5.1089342814,5.2100456534,
35.000,-51.318185,-54.344637,-50.243595,-46.160713,-43.342853,-45.416498,-55.720279,-48.060903,-46.189228,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-50.619012,-56.098063,-50.144944,-45.320646,-42.539855,-44.502443,-54.421222,-47.455660,-46.251561,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-49.913757,-57.396057,-49.617096,-43.918852,-41.365507,-43.414068,-53.493991,-46.311173,-45.709709,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-49.175699,-57.863253,-48.997218,-42.354832,-40.144706,-42.447218,-53.023186,-45.218762,-44.970357,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.005554,-57.829216,-48.926387,-41.366973,-39.523335,-42.169647,-53.425403,-44.857346,-44.554580,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-49.517860,-57.255242,-49.289135,-40.999163,-39.481225,-42.486301,-54.502669,-45.151248,-44.451703,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-50.363895,-55.762043,-49.422917,-40.806239,-39.566072,-42.908085,-55.803855,-45.645754,-44.500573,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-51.300777,-53.553926,-49.036595,-40.657314,-39.620054,-43.217928,-57.293690,-46.240397,-44.669349,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-52.517447,-51.514487,-48.561782,-40.898139,-39.895443,-43.548675,-59.051137,-47.150773,-44.958543,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-53.853854,-49.938064,-48.223984,-41.530929,-40.379309,-43.863170,-59.639983,-48.392267,-45.387895,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-55.263067,-49.009888,-48.186334,-42.483200,-40.989577,-44.084369,-57.548514,-49.775557,-45.867221,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-56.452369,-48.569406,-48.462692,-43.715827,-41.709122,-44.260836,-54.809785,-51.316137,-46.303056,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-57.232042,-48.418911,-48.787912,-44.862567,-42.246756,-44.196967,-52.458867,-52.631972,-46.605996,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-57.704391,-48.557380,-49.152966,-45.890759,-42.631169,-43.988683,-50.624603,-53.711833,-46.863250,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-58.174485,-49.147089,-49.822149,-47.123120,-43.205460,-43.996642,-49.477367,-54.923320,-47.229822,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-58.100366,-49.471663,-50.280882,-48.131331,-43.662243,-44.021044,-48.747698,-56.185766,-47.730339,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-57.899874,-49.837330,-50.611143,-48.908882,-43.948879,-43.932494,-48.123147,-57.189275,-48.058016,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-57.660922,-50.253929,-50.743041,-49.344821,-43.962550,-43.611733,-47.397894,-57.749767,-48.108875,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-57.370768,-50.668200,-50.720797,-49.512729,-43.810195,-43.183788,-46.670564,-58.057541,-48.046402,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-57.221157,-51.247822,-50.761798,-49.629673,-43.737897,-42.905775,-46.181058,-58.402728,-48.180458,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-57.097546,-51.869025,-50.829344,-49.674746,-43.753903,-42.800397,-45.948707,-58.867388,-48.567722,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-57.049922,-52.577166,-50.896656,-49.573257,-43.772632,-42.753265,-45.820755,-59.279974,-49.060020,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-57.217220,-53.516743,-51.058160,-49.402390,-43.829823,-42.750389,-45.729878,-59.578359,-49.477735,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-57.860447,-54.950837,-51.647091,-49.552631,-44.285864,-43.131115,-45.991517,-60.134194,-50.008827,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
