Target_index,0,1,2,3,4,5,6,Variable_index,Variable_name
Ping_index,1311,1312,1313,1314,1315,1317,1318,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:24,13:37:24,
Ping_milliseconds,612.0,701.0,788.0,873.0,961.0,136.0,222.0,
Range,8.8236460800,8.8206570400,8.8176680000,8.8236460800,8.8236460800,8.8475584000,8.8625036000,
Depth,8.6995033436,8.6930085272,8.6993538169,8.7218441991,8.7379374849,8.7793500749,8.7628340758,
35.000,-58.994976,-65.898232,-63.672741,-61.505261,-62.513572,-64.503738,-56.333450,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-58.034419,-65.517293,-62.037136,-61.722281,-61.981242,-64.346575,-56.211924,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-57.054319,-64.644404,-60.158686,-61.384255,-61.155224,-63.238344,-55.799664,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-56.330184,-63.807191,-58.525443,-60.911373,-60.464656,-61.769484,-55.567691,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-56.425576,-63.659253,-57.776591,-60.890097,-60.449596,-60.727160,-56.139425,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-57.241616,-63.971909,-57.765923,-61.183211,-60.874260,-60.171632,-57.372991,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-58.257802,-63.977301,-57.898008,-61.292172,-61.111880,-59.770330,-58.708802,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-59.165951,-63.398468,-57.992946,-61.152133,-60.958368,-59.429750,-59.958348,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-59.986516,-62.613552,-58.293827,-61.055881,-60.677813,-59.277772,-61.281529,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-60.651340,-61.878932,-58.779225,-61.010397,-60.446750,-59.312924,-62.508684,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-61.134764,-61.251755,-59.252001,-60.840329,-60.253338,-59.402516,-63.109633,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-61.511259,-60.976337,-59.800521,-60.714546,-60.232456,-59.603006,-62.951498,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-61.570495,-60.649866,-60.034172,-60.339039,-60.077441,-59.675059,-62.016195,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.378863,-60.250977,-59.980342,-59.802562,-59.809988,-59.671198,-60.795367,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-61.289840,-60.226129,-60.112289,-59.589891,-59.802445,-59.911747,-59.941050,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-61.135329,-60.381624,-60.302343,-59.602525,-59.962776,-60.323805,-59.406208,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-60.824634,-60.421614,-60.296548,-59.523553,-59.983991,-60.577860,-58.899792,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-60.270264,-60.112333,-59.903346,-59.127069,-59.674770,-60.483261,-58.203885,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-59.612500,-59.614831,-59.303994,-58.582440,-59.207196,-60.194033,-57.463586,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-59.115956,-59.179012,-58.768126,-58.147309,-58.853448,-59.977363,-56.927057,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-58.802256,-58.864706,-58.364611,-57.884816,-58.675019,-59.883081,-56.641401,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-58.553927,-58.489642,-57.922634,-57.599652,-58.488006,-59.726292,-56.420814,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-58.345277,-58.051531,-57.430454,-57.250259,-58.219482,-59.402801,-56.213402,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-58.496594,-58.000533,-57.318469,-57.253639,-58.229282,-59.232275,-56.405069,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-58.609756,-57.761077,-57.071706,-57.132941,-58.146241,-58.960454,-56.574373,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-58.690201,-57.515431,-56.852683,-57.050694,-58.068031,-58.658757,-56.846506,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-58.719558,-57.208140,-56.600895,-56.906395,-57.864893,-58.194910,-57.126457,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-58.688804,-56.834930,-56.322546,-56.701212,-57.536547,-57.602514,-57.410485,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-58.594217,-56.342991,-55.980938,-56.383703,-57.051543,-56.895132,-57.635025,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-58.671215,-56.064116,-55.891556,-56.242641,-56.670422,-56.322569,-58.000553,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-58.632675,-55.779692,-55.842312,-56.085662,-56.251026,-55.789657,-58.188745,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-58.517513,-55.471485,-55.790631,-55.835627,-55.758187,-55.261823,-57.990873,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-58.429143,-55.304067,-55.846307,-55.605082,-55.322528,-54.846573,-57.440581,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-58.281497,-55.190261,-55.886594,-55.344808,-54.965352,-54.606222,-56.584469,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-58.256258,-55.302575,-56.021362,-55.210493,-54.834465,-54.668632,-55.745564,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-58.291071,-55.547757,-56.123822,-55.129778,-54.842385,-54.936453,-54.990717,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-58.297016,-55.966552,-56.221135,-55.188387,-55.014633,-55.394756,-54.437777,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-58.268688,-56.335728,-56.141055,-55.201909,-55.184605,-55.874521,-53.959457,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-58.463068,-56.929567,-56.204120,-55.481763,-55.626321,-56.593580,-53.849129,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-58.953064,-57.619844,-56.362161,-55.937600,-56.273817,-57.463791,-54.044211,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-59.456426,-57.856089,-56.158059,-56.070931,-56.682183,-58.045610,-54.096275,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-59.700247,-57.290964,-55.320221,-55.612230,-56.600014,-58.099174,-53.755238,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
