Target_index,0,1,2,3,4,5,6,7,8,9,10,11,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,
Ping_milliseconds,549.0,642.0,736.0,835.0,935.0,037.0,149.0,264.0,362.0,464.0,568.0,663.0,
Range,4.6479572000,4.6180668000,4.6001325600,4.5851873600,4.5821983200,4.5911654400,4.6061106400,4.6389900800,4.6748585600,4.7226832000,4.7824640000,4.8482228800,
Depth,4.5222538384,4.5432113660,4.5536325229,4.5633579800,4.5747643830,4.5906569129,4.6013018033,4.6184164090,4.6298724236,4.6373565914,4.6593886511,4.6980922427,
35.000,-55.621657,-55.496600,-51.498483,-51.528232,-53.010339,-52.160242,-52.004318,-52.146159,-51.640387,-54.036723,-54.050318,-55.586668,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-53.944610,-54.769259,-51.278794,-50.852809,-52.856782,-51.785441,-51.797926,-52.077928,-51.099844,-53.803952,-53.723806,-55.053981,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-52.169580,-53.575495,-50.655366,-49.956249,-52.195804,-51.061658,-51.156527,-51.583540,-50.327786,-53.187129,-53.236936,-54.501113,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-50.121376,-52.047882,-49.766865,-49.042227,-51.378345,-50.326141,-50.416907,-50.930772,-49.455627,-52.163879,-52.348230,-53.607840,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-48.390350,-50.765711,-49.105986,-48.551614,-50.876417,-50.020076,-50.034231,-50.581424,-48.968126,-51.265399,-51.576648,-52.943389,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-47.287244,-49.929670,-48.759947,-48.475143,-50.668876,-50.081878,-49.971838,-50.527780,-48.943237,-50.697789,-51.185364,-52.848020,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-46.725523,-49.459047,-48.611679,-48.650855,-50.611412,-50.331487,-50.074608,-50.603007,-49.244729,-50.383499,-51.071132,-53.204250,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-46.480938,-49.218198,-48.549862,-48.962995,-50.635079,-50.655240,-50.256065,-50.681992,-49.709569,-50.168509,-50.993519,-53.673046,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-46.651111,-49.255943,-48.584547,-49.340550,-50.686599,-50.927106,-50.433712,-50.702753,-50.261956,-50.112128,-51.041381,-54.292872,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
