Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Variable_index,Variable_name
Ping_index,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2621,2622,2623,2624,2625,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,13:39:26,
38.418,-53.396243,-51.133028,-54.410337,-54.013383,-52.145586,-53.394350,-54.054263,-53.324162,-50.074445,-55.620165,-50.786839,-50.504999,-50.366545,-55.925615,-51.340353,-48.423836,-56.197820,-57.056963,-51.663294,-54.245431,-55.273681,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-53.204291,-51.653798,-54.452206,-54.392891,-52.453150,-54.394522,-54.247097,-53.203441,-51.155513,-55.448266,-50.667704,-50.686919,-50.871349,-56.538236,-51.158385,-49.064404,-54.581602,-59.466478,-52.758277,-53.909864,-55.246228,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-53.068534,-52.137503,-54.470110,-54.595123,-52.723768,-55.213519,-54.258072,-53.103018,-52.178148,-55.105775,-50.588427,-50.877393,-51.310145,-56.963964,-50.998378,-49.764823,-53.336693,-61.701506,-53.630252,-53.539320,-54.867952,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-52.976222,-52.563868,-54.336787,-54.496439,-52.797026,-55.673471,-53.913764,-52.780901,-52.885333,-54.371548,-50.246183,-50.789835,-51.409814,-56.955690,-50.522744,-50.276587,-52.186975,-62.625745,-54.038720,-53.111821,-54.189363,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-52.918892,-52.949162,-54.144985,-54.244124,-52.771984,-55.910242,-53.382697,-52.387919,-53.442452,-53.455581,-49.814007,-50.595795,-51.357157,-56.699501,-49.909170,-50.785425,-51.184018,-61.132205,-54.104095,-52.597032,-53.272751,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-53.085594,-53.486545,-54.119025,-54.096750,-52.874507,-56.169424,-52.926401,-52.172660,-54.089766,-52.621192,-49.529926,-50.537267,-51.390914,-56.453852,-49.369977,-51.549459,-50.523036,-58.242637,-54.082621,-52.130875,-52.376751,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-53.391742,-54.094715,-54.255226,-54.090175,-53.105605,-56.476481,-52.599461,-52.191140,-54.872310,-51.951237,-49.469514,-50.686801,-51.582131,-56.294245,-48.981512,-52.668359,-50.205346,-55.378394,-54.057068,-51.597424,-51.481252,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.858962,-54.752315,-54.457601,-54.113037,-53.334197,-56.668667,-52.244060,-52.257321,-55.544429,-51.239703,-49.416123,-50.832777,-51.710665,-56.016576,-48.528268,-53.997411,-50.100325,-52.757718,-53.963050,-50.971533,-50.648830,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-54.625402,-55.542729,-54.782119,-54.207139,-53.565619,-56.716327,-51.863965,-52.342990,-56.008060,-50.498027,-49.390696,-50.982533,-51.804367,-55.609620,-48.143465,-55.619532,-50.255759,-50.575191,-53.962078,-50.392757,-50.045713,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-56.005378,-56.708144,-55.609517,-54.779378,-54.153634,-56.956733,-51.883371,-52.866117,-56.585695,-50.231117,-49.920910,-51.635243,-52.377683,-55.540464,-48.494083,-57.892291,-51.120111,-49.469815,-54.591037,-50.234120,-50.014767,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-57.348410,-57.413087,-56.287052,-55.230661,-54.507741,-56.741965,-51.744066,-53.316095,-56.526189,-49.768314,-50.291383,-52.108255,-52.566425,-55.194593,-48.494239,-59.175815,-52.177055,-48.252021,-54.989210,-49.844618,-49.943453,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-58.532881,-57.451611,-56.818327,-55.619217,-54.644926,-56.126369,-51.584551,-53.825750,-55.935060,-49.361271,-50.767314,-52.614550,-52.582479,-54.782339,-48.533053,-58.735905,-53.658778,-47.308878,-55.296215,-49.211723,-49.762560,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-59.821575,-57.046728,-57.212281,-55.909530,-54.558280,-55.128282,-51.369531,-54.260277,-54.784377,-48.941053,-51.252148,-52.999335,-52.311664,-54.216321,-48.620942,-57.070768,-55.851215,-46.751539,-55.498560,-48.662277,-49.815778,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-61.076506,-56.223905,-57.325665,-55.957463,-54.200540,-53.824094,-51.088209,-54.514428,-53.236714,-48.497000,-51.669645,-53.105690,-51.689815,-53.491784,-48.660639,-55.245643,-59.276554,-46.578199,-55.385061,-48.249327,-50.188610,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-61.943349,-55.118017,-57.017032,-55.580202,-53.546697,-52.309686,-50.694567,-54.382901,-51.412496,-47.946940,-51.822193,-52.667874,-50.640608,-52.553315,-48.417180,-53.582390,-65.076441,-46.740270,-54.773411,-48.115823,-51.113623,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-61.790319,-54.089919,-56.529068,-55.009939,-52.912244,-51.020073,-50.494841,-54.009584,-49.793071,-47.659430,-51.962156,-51.945832,-49.656001,-51.775992,-48.272670,-52.479588,-68.015551,-47.913744,-54.148300,-48.694150,-53.151942,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-59.600907,-52.578838,-55.508496,-54.015155,-52.012755,-49.766167,-50.222867,-53.150362,-48.280740,-47.424305,-51.779942,-50.810624,-48.586831,-51.006516,-47.794826,-51.410640,-62.013751,-49.978631,-53.384869,-49.551890,-56.105299,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-56.619959,-50.904434,-54.191580,-52.874640,-50.988132,-48.659284,-49.858650,-51.885186,-46.904576,-47.192326,-51.233521,-49.430576,-47.499063,-50.246096,-46.970223,-50.087811,-58.927532,-53.272078,-52.884697,-51.056815,-60.058246,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-53.904293,-49.357383,-52.886929,-51.938454,-50.063722,-47.897148,-49.527757,-50.547166,-45.875237,-47.135359,-50.615726,-48.201854,-46.673305,-49.704292,-46.162183,-48.601623,-58.056587,-56.456199,-53.125160,-53.288733,-60.151052,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-51.477088,-47.781473,-51.538055,-51.165304,-49.175892,-47.373489,-49.111234,-49.241238,-45.135034,-47.120562,-49.914979,-47.153129,-45.978463,-49.318327,-45.212147,-46.918871,-58.270576,-54.210477,-54.108480,-55.055264,-56.724139,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-49.805689,-46.675748,-50.522134,-50.816346,-48.624915,-47.294238,-48.800458,-48.226557,-44.843479,-47.283074,-49.368841,-46.508366,-45.609310,-49.243415,-44.440373,-45.535606,-57.627959,-51.337035,-56.510800,-55.136380,-54.928579,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-48.963697,-46.167178,-49.897443,-50.823580,-48.419884,-47.579329,-48.550513,-47.465328,-44.883810,-47.495878,-48.906002,-46.176160,-45.457535,-49.354898,-43.795584,-44.557112,-54.694220,-50.044650,-61.413785,-54.274286,-55.168405,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-48.610021,-45.989686,-49.599416,-51.071138,-48.506473,-48.164150,-48.417910,-47.027806,-45.310273,-47.867010,-48.684467,-46.262963,-45.643152,-49.715588,-43.479648,-44.168538,-51.532245,-50.454621,-77.434874,-53.793161,-57.405479,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-48.925518,-46.283707,-49.616719,-51.394092,-48.824778,-48.890139,-48.290926,-46.734560,-45.860872,-48.145094,-48.450918,-46.486987,-45.870990,-50.049563,-43.163442,-44.164531,-49.088492,-52.479831,-64.883265,-54.424557,-63.856051,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-50.012871,-47.120390,-50.161968,-51.937895,-49.581027,-49.964576,-48.488182,-46.889678,-46.829962,-48.709272,-48.607161,-47.180523,-46.499577,-50.667442,-43.280769,-44.954771,-47.622433,-57.712383,-58.671005,-56.652617,-68.730458,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-52.200553,-48.622443,-51.263559,-52.590649,-50.741124,-51.309114,-48.983826,-47.422591,-48.080920,-49.467449,-49.049390,-48.184086,-47.363299,-51.440366,-43.669808,-46.542681,-46.993835,-61.943841,-56.002883,-61.859815,-57.687605,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-55.848294,-50.562500,-52.554849,-52.841077,-51.840899,-52.448278,-49.346345,-47.867733,-49.052686,-49.884686,-49.211619,-48.859475,-47.794527,-51.818015,-43.638489,-48.629396,-46.710583,-53.132481,-54.396360,-81.022002,-53.124285,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-62.131850,-52.235774,-53.497782,-52.198955,-52.289159,-52.972169,-49.287309,-47.976737,-49.433910,-49.706076,-48.816369,-48.778632,-47.349611,-51.519299,-42.782457,-51.672184,-46.391085,-46.864456,-52.793297,-61.266340,-49.950254,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
