Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Variable_index,Variable_name
Ping_index,3657,3658,3659,3660,3661,3662,3664,3665,3666,3667,3668,3669,3670,3671,3672,3673,3675,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:58,13:40:58,13:40:58,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:41:00,
Ping_milliseconds,598.0,678.0,758.0,838.0,918.0,001.0,164.0,244.0,332.0,423.0,512.0,601.0,681.0,759.0,838.0,924.0,084.0,
39.395,-57.358161,-50.619474,-50.521811,-49.418565,-43.809423,-43.184609,-58.074828,-42.139054,-39.186253,-39.295003,-44.281839,-48.652631,-56.658393,-47.052312,-44.644238,-47.041636,-59.282372,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-57.242430,-51.187654,-50.608584,-49.639684,-43.745776,-42.903373,-58.409973,-42.156000,-38.945483,-38.868413,-43.719485,-48.242366,-57.360159,-46.875279,-44.596039,-46.733971,-58.518730,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-57.153650,-51.802987,-50.739530,-49.781107,-43.766438,-42.794466,-58.865921,-42.354856,-38.872587,-38.618805,-43.339424,-47.971567,-58.103710,-46.783131,-44.555892,-46.417207,-57.856397,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-57.139191,-52.513674,-50.883126,-49.751617,-43.785694,-42.743787,-59.274806,-42.546170,-38.773759,-38.356018,-42.973461,-47.698019,-58.747590,-46.727296,-44.511997,-46.150194,-57.332551,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-57.334061,-53.467756,-51.127948,-49.615849,-43.839258,-42.737658,-59.577307,-42.709278,-38.623114,-38.044635,-42.581285,-47.462776,-59.305148,-46.762240,-44.577521,-46.099012,-57.066675,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-57.993953,-54.932050,-51.798680,-49.759032,-44.287520,-43.115792,-60.146201,-43.290586,-38.867109,-38.107851,-42.542850,-47.727402,-60.160344,-47.217519,-45.093160,-46.560346,-57.309447,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-58.492322,-56.221055,-52.247278,-49.587766,-44.627371,-43.485015,-60.613135,-43.772063,-38.998843,-38.065460,-42.424111,-47.876116,-60.678118,-47.601355,-45.421482,-46.857001,-57.453209,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-58.648720,-57.094231,-52.379559,-49.173128,-44.889763,-43.882308,-61.072874,-44.339722,-39.214280,-38.085356,-42.333173,-48.085522,-60.915038,-47.888013,-45.506467,-46.837609,-57.299219,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-58.851070,-57.759050,-52.329225,-48.710860,-45.159796,-44.322037,-61.372287,-44.890957,-39.418193,-38.071598,-42.195681,-48.378469,-60.857514,-48.222669,-45.575796,-46.873809,-57.160986,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-59.154941,-57.909976,-52.035974,-48.262759,-45.457278,-44.832055,-61.500173,-45.401141,-39.617235,-38.029003,-42.017187,-48.770615,-60.463636,-48.633096,-45.621262,-46.973961,-57.020610,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-59.745717,-57.330820,-51.547180,-47.925123,-45.823224,-45.442172,-61.432493,-45.764231,-39.757616,-37.911079,-41.773438,-49.243308,-59.712109,-49.195413,-45.697680,-47.266307,-56.974624,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-60.889772,-56.331327,-51.251453,-48.101177,-46.568727,-46.407263,-61.469435,-46.212746,-40.150405,-38.017107,-41.741139,-50.148885,-58.970280,-50.218395,-46.112879,-48.086362,-57.294731,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-61.447199,-54.654906,-50.805874,-48.446821,-47.348644,-47.393640,-61.526983,-46.458764,-40.608557,-38.162357,-41.710741,-51.173016,-58.005856,-51.298629,-46.328308,-48.776586,-57.330675,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-60.624523,-53.076509,-50.573088,-49.136185,-48.231178,-48.287293,-61.575404,-46.361482,-41.039609,-38.274854,-41.640162,-52.207098,-56.978803,-52.536318,-46.515699,-49.599663,-57.361513,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-58.478184,-52.000212,-50.834365,-50.212487,-49.257184,-48.939364,-61.656068,-46.053694,-41.533810,-38.458473,-41.621416,-53.136903,-56.138664,-53.917685,-46.738777,-50.521171,-57.449580,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-55.907172,-51.184381,-51.415180,-51.056572,-50.112348,-49.042410,-61.585387,-45.551712,-41.972474,-38.628377,-41.575444,-53.476494,-55.400710,-55.031009,-46.632571,-50.937030,-57.174219,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-54.034682,-51.098051,-52.611573,-51.360449,-50.838947,-48.785288,-61.313371,-45.118222,-42.435325,-38.890490,-41.636183,-53.302500,-55.021193,-55.906990,-46.495807,-51.141916,-56.864226,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-53.107667,-51.839449,-54.183713,-51.051518,-51.261682,-48.302287,-60.800118,-44.761413,-42.789077,-39.124949,-41.715813,-52.734414,-54.949849,-56.386260,-46.402088,-51.315147,-56.599727,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-52.707337,-52.940411,-55.245715,-50.545830,-51.250517,-47.712285,-60.353980,-44.639050,-43.131379,-39.396478,-41.835008,-52.050239,-55.111642,-56.275832,-46.186672,-51.239856,-56.060225,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-53.073687,-54.425126,-55.304719,-50.330514,-50.921552,-47.120330,-60.083127,-44.593880,-43.296254,-39.529914,-41.873581,-51.277901,-55.357141,-55.803433,-46.046837,-51.282601,-55.596417,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-54.231933,-55.718602,-54.829080,-50.787104,-50.632558,-46.829229,-60.472855,-44.993418,-43.685240,-39.874906,-42.130412,-50.809890,-55.865524,-55.360561,-46.150184,-51.520093,-55.299110,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-56.540178,-56.262071,-54.612640,-52.060808,-50.549581,-46.913803,-61.640148,-45.788535,-44.282426,-40.391304,-42.579969,-50.656903,-56.544474,-55.234753,-46.639494,-52.182056,-55.400283,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-60.400346,-55.944816,-54.791630,-53.955602,-50.427838,-47.081541,-63.420642,-46.528938,-44.658480,-40.634723,-42.808472,-50.397115,-56.909489,-55.300240,-47.299418,-53.197570,-55.794719,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-66.785836,-54.832264,-55.087846,-56.257260,-49.928248,-47.063208,-66.091571,-47.042163,-44.648681,-40.392360,-42.554930,-49.731065,-56.531034,-55.228003,-47.638130,-54.050597,-55.869608,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
