Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,2716,2718,2720,2721,2722,2723,2724,2725,2726,2727,2728,2729,2730,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:36,
Ping_milliseconds,549.0,642.0,736.0,835.0,935.0,037.0,149.0,264.0,362.0,464.0,568.0,663.0,760.0,943.0,121.0,220.0,310.0,400.0,491.0,601.0,686.0,776.0,867.0,952.0,039.0,
Range,4.6449419736,4.6180121751,4.6001141622,4.5836580025,4.5745610262,4.5865730741,4.6015233295,4.6359138623,4.6703380782,4.7211711973,4.7931076363,4.8558520756,4.9258822181,5.1097267004,5.1336073083,5.1261339297,5.1202020726,5.1201576676,5.1290556333,5.1514895091,5.1738882324,5.2067824129,5.2487027010,5.2890421731,5.3187610436,
Depth,4.5193080055,4.5435605003,4.5537294615,4.5618349873,4.5671377173,4.5860651638,4.5967218820,4.6153611643,4.6253980165,4.6358732125,4.6706788149,4.7055039918,4.7632159460,4.9019347932,5.0976770455,5.1088210642,5.1114881635,5.1184113510,5.1257024808,5.1391095417,5.1468526796,5.1555087306,5.1617996050,5.1709893765,5.1229048213,
37.441,-47.878579,-50.040611,-48.952109,-50.090327,-50.881523,-51.266571,-50.806439,-50.648729,-51.276129,-50.305989,-51.638485,-55.815001,-57.115994,-50.126726,-67.043542,-63.619753,-61.089350,-57.902211,-55.844432,-56.572746,-55.149111,-53.621073,-53.237980,-53.363877,-54.224721,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
37.686,-48.745660,-50.536347,-49.162837,-50.371821,-51.049863,-51.290415,-50.950666,-50.573669,-51.616625,-50.488733,-51.707413,-56.209458,-58.063644,-51.593809,-65.977776,-63.035069,-60.842571,-58.014778,-56.212563,-57.590530,-56.479699,-54.753066,-54.319962,-52.889965,-53.681675,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
37.930,-49.680936,-51.018028,-49.353962,-50.491114,-51.161669,-51.195652,-51.022553,-50.462602,-51.794863,-50.674073,-51.790302,-56.458160,-58.901387,-52.942851,-65.355461,-62.441266,-60.491772,-58.036786,-56.476446,-57.934877,-57.480409,-55.990948,-55.432047,-52.566178,-53.768666,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.174,-50.771476,-51.552950,-49.624706,-50.569198,-51.302550,-51.103999,-51.124009,-50.427015,-51.948850,-50.971035,-52.042114,-56.743457,-59.743138,-53.926206,-65.132144,-61.977298,-60.128545,-57.988828,-56.663514,-57.511013,-57.848385,-57.210152,-56.646903,-52.577603,-54.337059,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.418,-51.995582,-52.139699,-50.014616,-50.707943,-51.543588,-51.112824,-51.331488,-50.526893,-52.152705,-51.380783,-52.453978,-57.066042,-60.600890,-55.967536,-65.251549,-61.721397,-59.839350,-57.926190,-56.809335,-56.709766,-57.561872,-58.073177,-57.866335,-52.944496,-55.142166,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.662,-52.500584,-52.266925,-50.218106,-50.819421,-51.867985,-51.267718,-51.648229,-50.643915,-52.142795,-51.319453,-52.191394,-56.438064,-60.478882,-58.623259,-65.434906,-61.591481,-59.627288,-57.894909,-56.924489,-55.880509,-56.797962,-58.007433,-58.355499,-52.948231,-54.908217,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
38.906,-52.905631,-52.189902,-50.268762,-50.764666,-52.002313,-51.249685,-51.786471,-50.612532,-51.971215,-51.136710,-51.884306,-55.719728,-60.315884,-61.595041,-65.559366,-61.366362,-59.243890,-57.608525,-56.719561,-54.973089,-55.754945,-57.164137,-58.170736,-53.033212,-54.489421,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.150,-53.395923,-51.996223,-50.177447,-50.510096,-51.867101,-50.966443,-51.663285,-50.384402,-51.664375,-50.944873,-51.727956,-55.190790,-60.416835,-64.353095,-65.568131,-60.970751,-58.623470,-57.007233,-56.142297,-53.970399,-54.567937,-55.901291,-57.377175,-53.313348,-54.184359,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.395,-53.836380,-51.677939,-49.985966,-50.166669,-51.600025,-50.570060,-51.419124,-50.058385,-51.273096,-50.695415,-51.588287,-54.674600,-60.589384,-67.086157,-65.504694,-60.506829,-57.906252,-56.269296,-55.383465,-52.999678,-53.390856,-54.522396,-56.142308,-53.671695,-53.846759,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
39.639,-54.375413,-51.467870,-49.946925,-50.023207,-51.504198,-50.370697,-51.358586,-49.917394,-51.056026,-50.596736,-51.630198,-54.316837,-60.956645,-69.399351,-65.615272,-60.253465,-57.394347,-55.720054,-54.782678,-52.340913,-52.511987,-53.397195,-54.911216,-54.254363,-53.669273,0,RAW: TS pulse compressed wideband pings T1 (channel 1)
