Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:05,13:40:05,13:40:05,13:40:05,13:40:05,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,13:40:06,
Ping_milliseconds,611.0,699.0,793.0,893.0,983.0,079.0,170.0,259.0,349.0,433.0,517.0,601.0,699.0,
Range,9.4767157774,9.4782497369,9.4797702795,9.4605171956,9.4573777580,9.4588441093,9.4664507699,9.4497930259,9.4737275530,9.4827272114,9.4916767184,9.5110307279,9.5469505322,
Depth,9.2939777980,9.3697656151,9.3531048791,9.3542047609,9.3314852016,9.3661087155,9.3700948535,9.4093866320,9.4167520870,9.4165210258,9.4005240351,9.4342259672,9.4668330420,
40.859,-62.356694,-59.464124,-59.683162,-58.441938,-59.539111,-56.777839,-58.440211,-60.823369,-59.001965,-58.283091,-63.187663,-59.998555,-63.996584,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.104,-59.924033,-58.878773,-59.311964,-57.581716,-58.147215,-56.355129,-57.272923,-60.881987,-58.125900,-58.080779,-61.306302,-59.852664,-63.681620,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.348,-57.817297,-58.281225,-58.671315,-56.592410,-56.679510,-55.864731,-56.075906,-60.801728,-57.181544,-57.828775,-59.485454,-59.548366,-63.229651,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.592,-55.897677,-57.749948,-57.781184,-55.507878,-55.193446,-55.327933,-54.861348,-60.583750,-56.202219,-57.520802,-57.749666,-59.132292,-62.695199,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.836,-54.196519,-57.402021,-56.716906,-54.429395,-53.721509,-54.759591,-53.632449,-60.203941,-55.208898,-57.113238,-56.110453,-58.637539,-61.978652,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.080,-52.953925,-57.586785,-55.767658,-53.583129,-52.572955,-54.405051,-52.644934,-59.756682,-54.417904,-56.753224,-54.830314,-58.235022,-60.958944,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.324,-51.741898,-58.220295,-54.723442,-52.722797,-51.546837,-54.100112,-51.736845,-59.114744,-53.754347,-56.261976,-53.772183,-57.692883,-59.236586,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.568,-50.835183,-59.444131,-53.734536,-51.972189,-50.677320,-53.828645,-50.895195,-58.203206,-53.162997,-55.543578,-52.927275,-56.901491,-57.009654,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.813,-50.407556,-61.091936,-52.961137,-51.408832,-50.094770,-53.672003,-50.220979,-57.126456,-52.715290,-54.699784,-52.405503,-55.900719,-54.759454,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.057,-50.345066,-61.434472,-52.388101,-50.987673,-49.729605,-53.609008,-49.703358,-56.111821,-52.488975,-53.868778,-52.212735,-54.816039,-52.820247,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.301,-51.066606,-59.298837,-52.258690,-50.899573,-49.733449,-53.746991,-49.474272,-55.353933,-52.571175,-53.248006,-52.466853,-53.939915,-51.480469,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.545,-52.774653,-56.677556,-52.548787,-51.086324,-49.994034,-53.957046,-49.430346,-54.824839,-52.833377,-52.797247,-53.032907,-53.330591,-50.713816,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.789,-55.505364,-54.653441,-53.088294,-51.284509,-50.415186,-54.145437,-49.517900,-54.503057,-53.217264,-52.520124,-53.807970,-52.982588,-50.398430,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.033,-60.418151,-53.248965,-53.830550,-51.508463,-50.824143,-54.170329,-49.591538,-54.290281,-53.546440,-52.274081,-54.549827,-52.832426,-50.458385,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.277,-74.561132,-52.514705,-54.844258,-51.822087,-51.392014,-54.243142,-49.865637,-54.373782,-54.010178,-52.275779,-55.354377,-53.044348,-51.019604,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.521,-65.170898,-52.311309,-56.038048,-52.273987,-52.023459,-54.344661,-50.285149,-54.707787,-54.528545,-52.458558,-56.025502,-53.549450,-52.040635,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.766,-58.245771,-52.170457,-56.941642,-52.626894,-52.249018,-54.119414,-50.441780,-54.939183,-54.698391,-52.420636,-56.039192,-53.933774,-53.148711,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
45.010,-54.189916,-51.650670,-56.998576,-52.514217,-51.688849,-53.334672,-50.066544,-54.885045,-54.320478,-51.954015,-55.096282,-53.865613,-53.967748,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
