Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Variable_index,Variable_name
39.395,-61.324341,-62.346040,-58.052154,-58.281469,-59.654161,-59.626781,-59.316419,-58.601653,-59.181248,-58.336839,-60.182135,-57.491023,-60.170567,-59.718387,-54.826985,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-60.512639,-61.896680,-58.103242,-57.777175,-59.145473,-59.192908,-58.777630,-58.176027,-58.833686,-57.847628,-59.954776,-56.966497,-60.206863,-58.570320,-54.376640,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-59.638677,-61.365081,-58.222569,-57.422973,-58.818878,-58.879191,-58.370865,-57.918696,-58.663531,-57.589382,-59.854550,-56.687516,-60.394191,-57.686660,-54.159485,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-58.873977,-60.800718,-58.427947,-57.072158,-58.557615,-58.503387,-57.925866,-57.634423,-58.486150,-57.374675,-59.696897,-56.468634,-60.533062,-56.869081,-53.987564,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-58.413347,-60.329972,-58.829687,-56.781743,-58.336524,-58.063239,-57.431259,-57.281810,-58.227879,-57.118976,-59.377581,-56.258035,-60.520605,-56.063514,-53.841942,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-58.443078,-60.222370,-59.687968,-57.009301,-58.476522,-58.008988,-57.317641,-57.278120,-58.247663,-57.175490,-59.215802,-56.441459,-60.663270,-55.654279,-54.167693,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-58.380029,-59.913615,-60.364642,-57.019744,-58.580471,-57.765244,-57.070105,-57.146897,-58.173173,-57.219671,-58.956372,-56.597117,-60.544983,-55.170194,-54.469753,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-57.870483,-59.229642,-60.668104,-56.958949,-58.655386,-57.514628,-56.851137,-57.051307,-58.100601,-57.351254,-58.669319,-56.849836,-60.226114,-54.736640,-54.948325,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-57.385865,-58.468419,-60.855698,-56.863251,-58.685248,-57.202284,-56.600135,-56.891892,-57.898479,-57.430448,-58.220547,-57.104616,-59.615019,-54.272358,-55.551931,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-56.917589,-57.638733,-60.870646,-56.691396,-58.664062,-56.824833,-56.323181,-56.671510,-57.564969,-57.462983,-57.641478,-57.359041,-58.765103,-53.784880,-56.320974,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-56.635352,-56.871277,-60.751182,-56.371335,-58.590999,-56.330633,-55.983490,-56.341325,-57.067885,-57.411794,-56.943311,-57.554102,-57.726972,-53.251306,-57.236476,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-56.792759,-56.493430,-60.715398,-56.236850,-58.702349,-56.052715,-55.896568,-56.193732,-56.668648,-57.498506,-56.373610,-57.900800,-56.831329,-52.979567,-58.583447,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-56.559209,-55.974344,-60.067994,-55.917808,-58.707242,-55.773323,-55.850488,-56.040462,-56.228024,-57.550249,-55.835563,-58.097379,-55.965525,-52.796480,-59.956270,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-56.354930,-55.679162,-59.045650,-55.455638,-58.634803,-55.474091,-55.802885,-55.807276,-55.715385,-57.450420,-55.294122,-57.946632,-55.136763,-52.692457,-60.756048,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-56.274546,-55.795337,-57.850124,-55.035576,-58.574561,-55.318040,-55.863411,-55.605895,-55.266208,-57.251395,-54.857915,-57.469646,-54.473452,-52.810920,-60.624249,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-55.907830,-56.063916,-56.356144,-54.487540,-58.428050,-55.215261,-55.908231,-55.381207,-54.905401,-56.954306,-54.592011,-56.681130,-53.965600,-53.101575,-59.811836,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-55.830425,-56.899937,-55.160414,-54.093307,-58.372796,-55.335284,-56.044936,-55.279896,-54.782146,-56.700571,-54.628225,-55.882389,-53.752510,-53.699318,-59.119613,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-56.281431,-58.379864,-54.477240,-53.853454,-58.354101,-55.582734,-56.144167,-55.221584,-54.808070,-56.443143,-54.873636,-55.138884,-53.741404,-54.475845,-58.774373,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-56.724862,-60.047220,-54.004025,-53.804654,-58.298552,-55.997675,-56.232002,-55.287648,-55.006298,-56.271727,-55.317609,-54.576268,-53.930686,-55.401676,-58.885061,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-57.578685,-61.798697,-53.946849,-53.846624,-58.214777,-56.357534,-56.137673,-55.292832,-55.207333,-56.075277,-55.794929,-54.074752,-54.180737,-56.248655,-59.189062,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-58.684896,-62.905129,-54.293902,-54.276663,-58.366316,-56.938059,-56.185172,-55.549690,-55.682450,-56.170305,-56.526621,-53.932083,-54.759798,-57.250046,-59.921686,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-60.283576,-62.866383,-55.144343,-55.063040,-58.826203,-57.612637,-56.330287,-55.969673,-56.362986,-56.520103,-57.426982,-54.087076,-55.629023,-58.312074,-60.946955,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-62.319231,-61.885272,-56.244430,-55.738672,-59.310155,-57.831945,-56.119144,-56.056158,-56.800277,-56.708996,-58.057716,-54.090276,-56.381368,-58.975408,-61.757336,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-63.787269,-60.039734,-56.820114,-55.875551,-59.545306,-57.248989,-55.282175,-55.541492,-56.735722,-56.532174,-58.178236,-53.688298,-56.777568,-58.985131,-62.050876,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
