Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Variable_index,Variable_name
Ping_index,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,
Ping_milliseconds,252.0,348.0,430.0,526.0,612.0,701.0,788.0,873.0,961.0,052.0,136.0,222.0,308.0,394.0,480.0,
Range,8.9044479877,8.8519874611,8.8611407665,8.8235404932,8.8205701438,8.8191621504,8.8161370841,8.8221322794,8.8221083123,8.8265167263,8.8445549185,8.8609877956,8.8728452435,8.9121199613,8.9526117060,
Depth,8.6527300877,8.6171207223,8.6090993704,8.6310187420,8.6964706853,8.6915352717,8.6978434417,8.7203478627,8.7364146542,8.7502247812,8.7763697477,8.7613353180,8.7794387806,8.8029673230,8.8407988315,
35.000,-57.956616,-62.975011,-56.068830,-59.619896,-59.168821,-65.754398,-63.748910,-61.395611,-62.333218,-61.707908,-64.853422,-56.308411,-67.642125,-62.881161,-65.752447,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-56.060705,-62.471491,-55.881234,-58.792231,-58.196327,-65.429467,-62.085291,-61.729089,-61.774260,-60.239969,-64.521421,-56.268818,-70.130118,-62.594618,-63.053401,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-54.493198,-61.773211,-55.544170,-57.913821,-57.200178,-64.615304,-60.178111,-61.487120,-60.940522,-58.869130,-63.258691,-55.919522,-71.505496,-61.876349,-60.847951,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-52.971519,-60.947167,-55.111944,-57.341215,-56.455550,-63.838650,-58.527482,-61.089611,-60.260651,-57.888777,-61.677180,-55.741170,-68.661099,-61.106904,-59.237078,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-52.008785,-60.560960,-55.191921,-57.733985,-56.520720,-63.745191,-57.771246,-61.120308,-60.282754,-57.818822,-60.567000,-56.363524,-64.814484,-60.752693,-58.731787,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-51.807071,-60.630656,-55.852474,-58.926004,-57.288663,-64.090077,-57.759335,-61.439807,-60.779707,-58.480580,-59.981844,-57.648234,-62.169045,-60.584345,-59.142260,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.169035,-60.719718,-56.678340,-60.154909,-58.232066,-64.087770,-57.892020,-61.547201,-61.118460,-59.324170,-59.583876,-59.033408,-60.346191,-60.176926,-59.857922,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-52.843827,-60.571890,-57.363370,-61.043850,-59.049170,-63.463865,-57.985621,-61.373132,-61.062474,-60.098566,-59.276547,-60.315389,-59.059865,-59.674780,-60.630603,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-53.938283,-60.459936,-58.006721,-61.744170,-59.790986,-62.626097,-58.281513,-61.208865,-60.838239,-60.815317,-59.181434,-61.618528,-58.381108,-59.614224,-61.385728,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-55.276079,-60.449153,-58.412625,-62.116682,-60.426110,-61.856468,-58.760077,-61.074983,-60.612255,-61.346950,-59.282772,-62.728262,-58.218365,-60.199077,-61.525900,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-56.944543,-60.707674,-58.619896,-62.056977,-60.937572,-61.215686,-59.228579,-60.825064,-60.388762,-61.506159,-59.429442,-63.133943,-58.330429,-61.327610,-60.710811,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-58.575569,-61.132089,-58.631159,-61.858992,-61.379124,-60.940687,-59.778768,-60.650683,-60.324090,-61.449950,-59.665678,-62.829076,-58.678788,-62.958132,-59.641041,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-60.113489,-61.584915,-58.471936,-61.290964,-61.511596,-60.621296,-60.019750,-60.259740,-60.126661,-61.023813,-59.750896,-61.857739,-58.897034,-64.318676,-58.428265,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.554021,-62.084169,-58.329568,-60.506859,-61.379644,-60.231595,-59.975839,-59.730261,-59.825428,-60.389913,-59.743263,-60.663888,-58.993745,-64.762215,-57.256166,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-62.830435,-62.767869,-58.492671,-60.094485,-61.327951,-60.215745,-60.116947,-59.535636,-59.794521,-59.996334,-59.970010,-59.852650,-59.337455,-64.409840,-56.595632,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-63.060517,-62.997772,-58.385729,-59.787826,-61.190296,-60.379071,-60.313373,-59.569711,-59.940900,-59.816954,-60.363699,-59.358089,-59.824658,-63.562634,-56.285664,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-62.761881,-63.001249,-58.276317,-59.458741,-60.882199,-60.425400,-60.310626,-59.511341,-59.955656,-59.545384,-60.598497,-58.884355,-60.187709,-62.449549,-55.985748,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-62.169976,-62.786067,-58.171560,-58.915568,-60.322054,-60.120934,-59.917598,-59.132517,-59.645584,-58.994021,-60.486119,-58.213335,-60.250321,-61.096005,-55.446957,0,Comp1Files: TS pulse compressed wideband pings T1 (channel 1)
