Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Variable_index,Variable_name
Ping_index,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2621,2622,2623,2624,2625,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,13:39:26,
Ping_milliseconds,145.0,243.0,340.0,443.0,537.0,631.0,751.0,851.0,948.0,037.0,139.0,238.0,334.0,456.0,543.0,751.0,843.0,931.0,028.0,121.0,224.0,
Range,10.5782125600,10.5572892800,10.5393550400,10.5244098400,10.5034865600,10.4945194400,10.4855523200,10.4915304000,10.4915304000,10.5004975200,10.5154427200,10.5273988800,10.5423440800,10.5662564000,10.5961468000,10.6439714400,10.6738618400,10.7007632000,10.7455988000,10.7874453600,10.8322809600,
Depth,10.2583824936,10.2218423039,10.3052235385,10.3241749955,10.3091751030,10.3145788852,10.3247454511,10.3585781213,10.3492879337,10.3464911459,10.3567762552,10.3745791037,10.3555978304,10.4227788281,10.3374457425,10.4174773274,10.4737082860,10.3774505071,10.4514711509,10.4502163939,10.5091480818,
35.000,-48.698089,-49.494399,-53.849335,-52.740336,-53.275248,-55.800999,-56.942609,-52.124075,-60.902858,-55.860716,-52.319076,-56.877663,-50.536778,-59.267007,-50.939170,-53.192714,-48.623840,-55.508973,-55.116970,-52.200886,-51.893343,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.740266,-48.961884,-53.370907,-52.037028,-53.846120,-56.061980,-55.346849,-52.163085,-63.272922,-54.217691,-52.782793,-58.555282,-50.008064,-58.239256,-50.275331,-56.389180,-47.358322,-64.308951,-53.907863,-50.282827,-49.578372,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-48.752660,-48.265773,-52.738737,-51.040004,-53.904747,-55.657100,-53.615774,-51.869255,-64.127187,-52.543634,-53.131614,-60.303932,-49.100223,-56.626692,-49.477230,-60.478020,-46.315795,-54.733988,-52.692189,-48.247672,-47.342208,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-48.809484,-47.471992,-52.224675,-50.094272,-53.756267,-54.753376,-52.117054,-51.765243,-62.282379,-51.270852,-54.058370,-62.561362,-48.327229,-55.096168,-49.189708,-59.207485,-45.787560,-48.303879,-51.777625,-46.272707,-45.338298,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.524687,-47.191466,-52.444003,-49.833552,-53.990964,-53.824510,-51.467447,-52.541560,-59.109589,-51.048728,-56.516242,-64.618843,-48.382460,-54.374591,-50.311105,-54.304281,-46.447860,-45.225052,-51.637280,-45.076928,-44.200329,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-50.906157,-47.432550,-53.277428,-50.155495,-54.498579,-52.916052,-51.526786,-54.106934,-56.234058,-51.673328,-60.878538,-64.179738,-49.035871,-54.307902,-52.749559,-51.573924,-48.302932,-44.091192,-51.733866,-44.769139,-44.003973,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.399033,-47.699492,-54.080870,-50.490310,-54.717980,-51.835836,-51.700006,-55.906691,-53.654920,-52.417569,-68.376097,-62.117796,-49.477445,-54.240901,-55.709844,-49.913055,-50.962944,-43.546564,-51.089759,-44.941745,-44.351718,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.552635,-47.763280,-54.537514,-50.662220,-54.430868,-50.733667,-51.803188,-57.646606,-51.364980,-53.064512,-73.369247,-59.641131,-49.501572,-54.015100,-58.712659,-48.698579,-54.548255,-43.223995,-49.765277,-45.425521,-45.037418,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-54.375225,-47.953312,-54.850593,-50.990132,-53.920789,-50.082582,-52.100957,-58.937019,-49.737420,-53.897733,-63.221849,-57.259478,-49.549318,-53.976637,-59.825050,-48.116766,-59.989651,-43.719378,-48.696830,-46.552005,-46.318101,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.667088,-48.250737,-54.992432,-51.503757,-53.325956,-49.967233,-52.581483,-58.825828,-48.824274,-54.838024,-58.547054,-55.189808,-49.696387,-54.187138,-57.737992,-47.980640,-69.751752,-45.039171,-48.198253,-48.213499,-48.060724,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-54.575294,-48.707007,-54.968327,-52.107397,-52.770315,-50.266411,-53.073513,-57.504952,-48.428621,-55.572030,-55.643247,-53.479309,-49.797662,-54.485750,-55.401496,-47.948967,-76.521790,-46.878208,-48.236127,-50.201574,-50.125601,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-54.275615,-49.293137,-54.949523,-52.847306,-52.467551,-51.003821,-53.651387,-56.183958,-48.647173,-56.224455,-53.917868,-52.434917,-50.151090,-55.046648,-54.085423,-48.202525,-66.021037,-49.398135,-48.936553,-52.020522,-52.131687,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-53.828356,-49.797606,-54.730168,-53.345174,-52.176892,-51.740447,-53.925433,-54.951519,-48.960279,-56.312440,-52.545589,-51.552347,-50.256090,-55.404323,-52.975739,-48.235753,-61.502434,-51.689529,-49.728827,-53.010582,-53.605984,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-53.435265,-50.283845,-54.416750,-53.604544,-51.937581,-52.415941,-53.919271,-53.879787,-49.292515,-55.898962,-51.343697,-50.758037,-50.124762,-55.541593,-51.850573,-48.095957,-58.280792,-53.563821,-50.499756,-53.254353,-54.490683,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-53.428375,-51.081689,-54.450773,-54.047436,-52.119010,-53.393096,-54.099695,-53.366640,-50.086118,-55.636782,-50.789829,-50.540404,-50.398728,-55.965010,-51.372305,-48.457677,-56.146560,-55.848445,-51.699726,-53.449961,-55.139064,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-53.232120,-51.620948,-54.493659,-54.412471,-52.408530,-54.389498,-54.298865,-53.218307,-51.160211,-55.464650,-50.662572,-50.700214,-50.897808,-56.533855,-51.205837,-49.092587,-54.608152,-58.391309,-52.845715,-53.316634,-55.100689,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-53.090945,-52.125611,-54.508633,-54.605576,-52.672262,-55.212068,-54.316054,-53.099631,-52.176187,-55.121938,-50.580803,-50.871884,-51.327307,-56.925582,-51.051346,-49.779944,-53.398664,-61.161497,-53.758797,-53.164257,-54.712575,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-52.991978,-52.573611,-54.368811,-54.500233,-52.748374,-55.681552,-53.978538,-52.766407,-52.877676,-54.387676,-50.239424,-50.767704,-51.414980,-56.895089,-50.575377,-50.274553,-52.264968,-63.213898,-54.188016,-52.954927,-54.030747,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-52.926615,-52.980898,-54.167826,-54.241975,-52.734607,-55.932882,-53.453921,-52.367868,-53.430958,-53.471746,-49.810216,-50.559189,-51.349540,-56.628853,-49.958264,-50.762232,-51.268302,-62.275434,-54.248202,-52.646947,-53.113080,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-53.083854,-53.541306,-54.131158,-54.088855,-52.855642,-56.210602,-53.003964,-52.151556,-54.077500,-52.637450,-49.530568,-50.489069,-51.372281,-56.384831,-49.413914,-51.498648,-50.608101,-58.933438,-54.197578,-52.359956,-52.216615,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-53.379238,-54.174670,-54.256539,-54.077225,-53.111274,-56.539173,-52.682765,-52.172896,-54.863722,-51.967548,-49.475760,-50.631259,-51.557211,-56.237474,-49.019505,-52.577967,-50.287414,-55.644937,-54.125748,-51.953111,-51.317396,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.834894,-54.860159,-54.449737,-54.097002,-53.368752,-56.753614,-52.333243,-52.245640,-55.545098,-51.256159,-49.429064,-50.776133,-51.687335,-55.981158,-48.559882,-53.845472,-50.176071,-52.779775,-53.975783,-51.384190,-50.482938,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-54.590197,-55.678635,-54.768922,-54.191919,-53.630677,-56.820487,-51.957600,-52.341675,-56.023160,-50.514685,-49.411413,-50.933567,-51.793072,-55.602428,-48.168253,-55.367975,-50.321331,-50.462029,-53.915116,-50.788424,-49.882629,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-55.962064,-56.862312,-55.597437,-54.771364,-54.246225,-57.071930,-51.976866,-52.879304,-56.616467,-50.247795,-49.950404,-51.605550,-52.389124,-55.565104,-48.511387,-57.495715,-51.170034,-49.281338,-54.485561,-50.547217,-49.855402,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
