Target_index,0,1,2,3,4,5,6,7,8,9,10,11,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,13:39:34,
Ping_milliseconds,549.0,642.0,736.0,835.0,935.0,037.0,149.0,264.0,362.0,464.0,568.0,663.0,
Range,4.6479572000,4.6210558400,4.6031216000,4.5851873600,4.5821983200,4.5911654400,4.6061106400,4.6389900800,4.6748585600,4.7226832000,4.7854530400,4.8482228800,
Depth,4.5222416772,4.5465550944,4.5567065747,4.5633570617,4.5747626172,4.5906570219,4.6013044054,4.6184237450,4.6298749996,4.6373578971,4.6632197369,4.6981110135,
41.104,-56.051545,-51.468765,-51.002984,-51.457512,-52.341518,-51.013457,-52.517563,-50.810516,-51.544953,-51.752822,-54.864770,-55.203998,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-55.131481,-51.279631,-50.958728,-51.725014,-52.366339,-51.109627,-52.600636,-50.888520,-51.503642,-51.729976,-55.428448,-55.430581,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-54.023556,-51.042400,-50.787009,-51.911010,-52.239916,-51.089189,-52.519542,-50.854958,-51.355459,-51.617439,-56.054976,-55.880606,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-53.040990,-50.929806,-50.608501,-52.095803,-52.034000,-51.020243,-52.335313,-50.799548,-51.213562,-51.565913,-56.881143,-56.861403,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-52.546189,-51.155735,-50.571636,-52.366253,-51.833858,-50.971905,-52.114297,-50.816567,-51.206658,-51.752577,-57.944373,-58.646215,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-51.740532,-51.197978,-50.331434,-52.513501,-51.573076,-50.911262,-51.793817,-50.722494,-50.980222,-51.530630,-58.013300,-59.786216,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-51.188711,-51.350867,-50.039135,-52.505815,-51.203369,-50.731227,-51.309688,-50.516249,-50.669490,-51.249197,-57.439040,-60.004229,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-50.993596,-51.658213,-49.731207,-52.301349,-50.726062,-50.395366,-50.665453,-50.189360,-50.305674,-51.008321,-56.569618,-59.194097,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-50.617939,-51.863327,-49.366371,-51.972249,-50.339300,-50.120673,-50.093979,-49.853420,-49.865532,-50.581365,-55.277938,-57.728746,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-50.560362,-52.264477,-49.216769,-51.692284,-50.164969,-49.996853,-49.736815,-49.695383,-49.631139,-50.424695,-54.302240,-56.956409,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-51.010349,-52.868062,-49.325578,-51.480068,-50.153663,-49.971046,-49.569292,-49.720451,-49.654910,-50.675427,-53.887865,-57.245482,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-51.352140,-53.141357,-49.386343,-51.204602,-50.178865,-49.968229,-49.494535,-49.753995,-49.634810,-50.812558,-53.361496,-57.594502,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-52.146326,-53.305445,-49.570231,-50.988692,-50.237186,-49.984338,-49.517595,-49.873847,-49.745863,-51.144538,-53.228354,-58.163278,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-53.281162,-53.279573,-49.884328,-50.968441,-50.451742,-50.183135,-49.770736,-50.167511,-49.998085,-51.522605,-53.294317,-58.161072,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-55.162713,-53.292336,-50.444036,-51.238294,-50.845618,-50.591441,-50.274015,-50.700073,-50.515841,-52.138886,-53.894508,-57.874929,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-57.924523,-53.337879,-51.107707,-51.625026,-51.188445,-50.980727,-50.793600,-51.284743,-51.174209,-52.945910,-55.108218,-57.782824,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-60.409495,-52.877426,-51.451013,-51.895777,-51.324124,-51.252908,-51.184930,-51.679860,-51.573851,-53.263182,-56.026462,-57.164958,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
