Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2711,2713,2718,2721,2723,2724,2726,2727,2728,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,13:39:35,
Ping_milliseconds,549.0,642.0,736.0,835.0,264.0,464.0,943.0,220.0,400.0,491.0,686.0,776.0,867.0,
Range,4.6479572000,4.6180668000,4.6001325600,4.5851873600,4.6389900800,4.7226832000,5.1112584000,5.1262036000,5.1232145600,5.1321816800,5.1770172800,5.2098967200,5.2517432800,
Depth,4.5222538384,4.5432113660,4.5536325229,4.5633579800,4.6184164090,4.6373565914,4.9034044752,5.1088248752,5.1214451445,5.1288184971,5.1498878254,5.1585434247,5.1647873707,
35.000,-55.621657,-55.496600,-51.498483,-51.528232,-52.146159,-54.036723,-58.307534,-60.741064,-57.883846,-58.473195,-56.313713,-60.717163,-71.990894,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-53.944610,-54.769259,-51.278794,-50.852809,-52.077928,-53.803952,-57.321575,-61.290564,-57.428166,-56.970420,-54.453587,-56.430192,-66.331975,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-52.169580,-53.575495,-50.655366,-49.956249,-51.583540,-53.187129,-56.016609,-61.499850,-56.802393,-55.536062,-52.891295,-53.830414,-58.636695,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-50.121376,-52.047882,-49.766865,-49.042227,-50.930772,-52.163879,-54.946680,-61.673471,-56.315336,-54.365826,-51.624100,-51.967877,-54.561577,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-48.390350,-50.765711,-49.105986,-48.551614,-50.581424,-51.265399,-54.718215,-62.256635,-56.378389,-53.844017,-51.008242,-50.968643,-52.143088,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-47.287244,-49.929670,-48.759947,-48.475143,-50.527780,-50.697789,-54.690196,-63.144270,-56.848496,-53.869652,-50.996681,-50.733218,-50.944029,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-46.725523,-49.459047,-48.611679,-48.650855,-50.603007,-50.383499,-53.578441,-63.987428,-57.392901,-54.204805,-51.399465,-50.996498,-50.607078,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-46.480938,-49.218198,-48.549862,-48.962995,-50.681992,-50.168509,-51.591614,-64.468203,-57.766789,-54.672234,-52.080823,-51.504892,-50.818988,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-46.651111,-49.255943,-48.584547,-49.340550,-50.702753,-50.112128,-50.284359,-64.459151,-57.888550,-55.116546,-52.987735,-52.165490,-51.484933,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-47.070658,-49.493906,-48.699233,-49.749782,-50.690317,-50.136512,-49.925079,-64.111544,-57.948917,-55.554455,-54.128613,-52.953604,-52.401378,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-47.897902,-50.010795,-48.958074,-50.156998,-50.695033,-50.377524,-50.123216,-63.628206,-58.052324,-55.988520,-55.488046,-53.988225,-53.575595,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-48.739697,-50.505866,-49.168651,-50.403536,-50.617377,-50.542279,-51.619810,-63.043460,-58.131358,-56.347220,-56.767097,-55.115627,-54.695475,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-49.656644,-50.987184,-49.359684,-50.496769,-50.498772,-50.709075,-52.994034,-62.449670,-58.110577,-56.580956,-57.637392,-56.292143,-55.797275,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-50.737888,-51.522275,-49.630438,-50.561034,-50.453988,-50.990274,-53.996545,-61.985824,-58.023239,-56.729179,-57.849266,-57.381765,-56.944113,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-51.961765,-52.109270,-50.020414,-50.696288,-50.544945,-51.388424,-56.048924,-61.730043,-57.931948,-56.838025,-57.468460,-58.075731,-58.037338,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-52.474215,-52.233715,-50.223216,-50.810875,-50.654181,-51.319710,-58.703485,-61.599764,-57.883956,-56.924842,-56.685754,-57.885502,-58.368636,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-52.892120,-52.154326,-50.273296,-50.762476,-50.616525,-51.133229,-61.652664,-61.374331,-57.590434,-56.702492,-55.662488,-57.007915,-58.055472,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-53.398534,-51.959767,-50.181763,-50.515246,-50.383700,-50.940548,-64.346076,-60.978631,-56.988258,-56.117491,-54.505611,-55.769835,-57.210045,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-53.856657,-51.641023,-49.990159,-50.178847,-50.054502,-50.692450,-66.935354,-60.514676,-56.253053,-55.357968,-53.357474,-54.434784,-55.989948,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-54.413451,-51.430367,-49.950945,-50.041432,-49.911775,-50.596787,-69.028992,-60.261254,-55.708457,-54.761100,-52.503079,-53.353118,-54.804535,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-54.838801,-51.233281,-50.014337,-50.109229,-49.956811,-50.523942,-69.842798,-60.221868,-55.407578,-54.390407,-51.930235,-52.506473,-53.668864,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-55.249796,-51.103655,-50.150515,-50.288486,-50.093897,-50.551683,-69.189684,-60.274410,-55.202092,-54.109679,-51.538917,-51.863727,-52.692547,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-55.771439,-51.083585,-50.296899,-50.435457,-50.172341,-50.749505,-68.699007,-60.240149,-54.875580,-53.714650,-51.181308,-51.352068,-51.940298,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-56.470013,-51.317090,-50.586286,-50.688814,-50.321299,-51.246010,-70.412395,-60.240537,-54.562204,-53.347316,-50.984976,-51.097881,-51.558566,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-56.713030,-51.528126,-50.907074,-51.093016,-50.599686,-51.704965,-71.679525,-60.346965,-54.427090,-53.167067,-50.978874,-50.993261,-51.258156,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-56.075024,-51.412894,-51.015065,-51.477198,-50.827787,-51.770678,-68.602223,-60.385670,-54.349559,-53.057602,-50.983225,-50.797871,-50.728151,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-55.155040,-51.222969,-50.970679,-51.744663,-50.905731,-51.747780,-62.763574,-60.208739,-54.100674,-52.803338,-50.926402,-50.570226,-50.227210,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-54.047187,-50.989343,-50.799745,-51.930634,-50.872114,-51.635193,-57.861272,-59.847962,-53.730496,-52.459057,-50.861345,-50.347436,-49.784985,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-53.064659,-50.886297,-50.623555,-52.115416,-50.816666,-51.583628,-53.599657,-59.384979,-53.313486,-52.104405,-50.904267,-50.265538,-49.577910,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-52.569845,-51.129146,-50.591051,-52.385883,-50.833684,-51.770274,-50.607253,-58.923666,-52.942375,-51.837903,-51.189125,-50.492741,-49.824916,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-51.764240,-51.192752,-50.356137,-52.533202,-50.739600,-51.548325,-48.178171,-58.351571,-52.613283,-51.646268,-51.537508,-50.714751,-49.992253,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-51.212469,-51.372085,-50.069227,-52.525628,-50.533372,-51.266909,-46.254091,-57.682204,-52.264094,-51.468708,-51.955850,-51.093039,-50.389267,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-51.017408,-51.706859,-49.764595,-52.321308,-50.206531,-51.026058,-45.356740,-56.946456,-51.904754,-51.308890,-52.346647,-51.645277,-51.078077,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-50.641908,-51.929902,-49.397995,-51.992369,-49.870620,-50.599121,-44.752399,-56.315633,-51.774215,-51.383848,-52.569132,-52.222983,-51.816369,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-50.584527,-52.330887,-49.241010,-51.712541,-49.712612,-50.442466,-44.711002,-55.966347,-51.961967,-51.763837,-52.512170,-52.788266,-52.886090,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-51.034679,-52.908672,-49.337994,-51.500399,-49.737718,-50.693210,-45.031153,-55.889030,-52.378025,-52.318738,-52.044970,-52.925953,-54.032393,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-51.376653,-53.127877,-49.384390,-51.224950,-49.771275,-50.830344,-46.224812,-55.933321,-52.881350,-52.838259,-51.147941,-52.162022,-54.079062,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-52.170949,-53.222926,-49.554711,-51.008978,-49.891140,-51.162317,-47.603274,-56.144056,-53.378200,-53.162184,-50.182684,-51.006605,-52.983029,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-53.305878,-53.130121,-49.858264,-50.988613,-50.184795,-51.540360,-49.917542,-56.625730,-53.946470,-53.339357,-49.419035,-49.895062,-51.300870,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-55.187472,-53.094230,-50.412586,-51.258307,-50.717343,-52.156601,-52.509061,-57.428634,-54.542933,-53.382201,-49.011749,-49.166219,-49.875216,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-57.949209,-53.117290,-51.077630,-51.644837,-51.302008,-52.963586,-52.890479,-58.354101,-54.900914,-53.133064,-48.805296,-48.756393,-48.889037,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-60.433863,-52.658871,-51.429501,-51.915380,-51.697089,-53.280845,-49.042154,-59.209768,-54.920345,-52.583075,-48.548461,-48.275876,-47.782805,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
