Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2409,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:05,13:39:05,13:39:05,13:39:05,13:39:05,
Ping_milliseconds,331.0,425.0,516.0,610.0,703.0,794.0,887.0,981.0,076.0,170.0,261.0,354.0,537.0,
Range,7.8419814151,7.8164889664,7.8059146261,7.7925476110,7.7895525574,7.7804464661,7.8044320986,7.8059170527,7.8222795980,7.8402427643,7.8684768018,7.8939417098,7.9686013242,
Depth,7.6863243319,7.6762258634,7.7190133613,7.7148154555,7.7457863949,7.7368355850,7.7891470315,7.7882018732,7.8041164186,7.8152785972,7.8304614443,7.8366371254,7.8568267981,
35.000,-66.836823,-62.555120,-70.567861,-77.359843,-68.040219,-71.443840,-77.815603,-66.040870,-67.652874,-69.886372,-65.413439,-66.036677,-67.583497,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-65.180695,-62.722041,-68.883203,-82.012989,-67.333733,-71.301662,-76.069168,-65.067629,-67.459215,-68.708203,-65.573418,-65.613077,-66.067477,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-63.886880,-62.368563,-67.359023,-85.108334,-66.362984,-71.414027,-74.582938,-64.283969,-67.240436,-67.663255,-65.472533,-65.062336,-64.145885,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-62.593809,-61.655627,-66.386703,-84.532014,-65.616120,-72.080590,-73.136895,-63.896073,-67.232609,-66.879256,-65.390602,-64.612958,-62.230513,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-61.727033,-61.282937,-66.402891,-81.485794,-65.631917,-73.660562,-71.848645,-64.323630,-67.782875,-66.734598,-65.745035,-64.708118,-60.934761,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-61.502240,-61.561809,-67.248236,-78.540730,-66.335616,-75.372336,-70.531917,-65.432108,-68.604539,-67.096088,-66.362478,-65.230360,-60.331642,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-61.929210,-62.472732,-68.355426,-75.769516,-67.362777,-75.593804,-69.094945,-66.824555,-69.130609,-67.627946,-66.826444,-65.822978,-60.178068,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-63.054633,-63.891739,-69.161534,-72.715694,-68.381279,-74.161002,-67.667831,-68.063892,-68.945987,-68.017437,-66.872706,-66.267561,-60.309785,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-65.219637,-65.595782,-69.370504,-69.570517,-68.998893,-72.020605,-66.378639,-68.642402,-67.993060,-67.894504,-66.474672,-66.416882,-60.743011,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-68.277907,-66.474827,-68.866393,-66.763617,-68.835827,-69.663624,-65.332856,-68.329871,-66.628826,-67.112672,-65.790356,-66.069798,-61.303664,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-69.644864,-65.815951,-67.771536,-64.516105,-67.947253,-67.400014,-64.499213,-67.324069,-65.215943,-65.924222,-65.005405,-65.241270,-61.827315,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-66.817284,-64.301229,-66.332578,-62.817004,-66.766830,-65.460064,-63.817690,-66.043533,-63.948852,-64.696396,-64.227827,-64.207723,-62.088465,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-63.765667,-62.869471,-64.764296,-61.461277,-65.521775,-63.811072,-63.196105,-64.721167,-62.851338,-63.567577,-63.485596,-63.136482,-62.036710,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-61.665248,-61.847933,-63.333856,-60.425083,-64.417655,-62.497243,-62.692154,-63.567045,-62.004979,-62.667940,-62.892021,-62.223484,-61.860120,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-60.374178,-61.266909,-62.295514,-59.835049,-63.664615,-61.641758,-62.420824,-62.757515,-61.507234,-62.125868,-62.581147,-61.676670,-61.814503,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-59.096096,-60.537335,-61.424461,-59.446495,-63.174636,-61.110507,-62.371371,-62.283655,-61.313550,-61.882819,-62.458864,-61.360098,-61.635666,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-58.028482,-59.841491,-60.592208,-59.054789,-62.661835,-60.593029,-62.201680,-61.792243,-61.081065,-61.608036,-62.268614,-61.036792,-61.363988,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-57.175262,-59.191997,-59.696046,-58.529935,-61.986535,-59.936175,-61.782840,-61.137123,-60.673791,-61.162919,-61.900545,-60.581704,-60.976793,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-56.432593,-58.533756,-58.806221,-57.959661,-61.270366,-59.253770,-61.262053,-60.455133,-60.223928,-60.677075,-61.471845,-60.104656,-60.533569,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-55.965670,-58.056023,-58.163885,-57.593808,-60.785519,-58.814636,-60.936912,-60.033688,-60.021076,-60.436115,-61.262407,-59.874510,-60.278879,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-55.624566,-57.638339,-57.753787,-57.434105,-60.559775,-58.645842,-60.855555,-59.915736,-60.105814,-60.478724,-61.296295,-59.913606,-60.180088,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-55.464036,-57.306124,-57.478633,-57.364490,-60.446134,-58.602741,-60.861628,-59.939438,-60.328020,-60.657081,-61.446122,-60.101621,-60.194706,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-55.557175,-57.097958,-57.276746,-57.307169,-60.308122,-58.553153,-60.769859,-59.923089,-60.510166,-60.807357,-61.570652,-60.339665,-60.312534,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-56.058977,-57.171860,-57.387293,-57.510327,-60.370644,-58.728735,-60.768274,-60.064333,-60.841983,-61.133194,-61.867981,-60.876779,-60.767988,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
