Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Variable_index,Variable_name
Ping_index,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2621,2622,2623,2624,2625,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,13:39:26,
Ping_milliseconds,145.0,243.0,340.0,443.0,537.0,631.0,751.0,851.0,948.0,037.0,139.0,238.0,334.0,456.0,543.0,751.0,843.0,931.0,028.0,121.0,224.0,
Range,10.5751811250,10.5512016925,10.5332520506,10.5198495087,10.4958880519,10.4929669564,10.4824788594,10.4884816771,10.4884868522,10.5004558142,10.5123796084,10.5183078504,10.5332142431,10.5586800300,10.5976546599,10.6394525730,10.6708439139,10.7053221465,10.7409997890,10.7766708604,10.8322525158,
Depth,10.2554427115,10.2159481449,10.2992561264,10.3197014295,10.3017171649,10.3130530203,10.3217191249,10.3555680327,10.3462856496,10.3464500513,10.3537593624,10.3656200441,10.3466297202,10.4153053360,10.3389167888,10.4130546181,10.4707469493,10.3818717096,10.4469980253,10.4397787210,10.5091204876,
35.000,-48.710130,-49.756210,-53.879652,-52.742542,-53.673661,-56.144798,-57.084103,-52.106015,-60.955660,-55.860786,-52.204637,-57.053802,-51.018775,-59.531692,-51.060952,-53.358316,-48.782868,-59.032854,-54.006166,-54.466834,-51.893389,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.749524,-49.100983,-53.412720,-52.119484,-54.161537,-56.389768,-55.401503,-52.200190,-63.587381,-54.217761,-52.681316,-59.098550,-50.435451,-58.598001,-50.383012,-56.140805,-47.425573,-60.953675,-52.757629,-51.434254,-49.578418,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-48.767045,-48.300098,-52.795164,-51.179392,-54.153894,-55.919787,-53.615827,-51.947015,-64.600309,-52.543704,-53.055444,-61.442560,-49.441866,-57.011740,-49.561636,-59.175638,-46.323287,-52.796690,-51.589891,-48.677672,-47.342254,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-48.837152,-47.413227,-52.292075,-50.263196,-53.983893,-54.890191,-52.082555,-51.883004,-62.477976,-51.270921,-54.036731,-64.418714,-48.550153,-55.473094,-49.235437,-58.561677,-45.743353,-47.644487,-50.791711,-46.260204,-45.338344,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.573510,-47.054397,-52.510653,-49.997662,-54.238776,-53.817704,-51.412399,-52.708724,-59.076513,-51.048798,-56.613094,-65.367568,-48.463194,-54.715511,-50.296756,-54.737757,-46.345304,-45.039900,-50.891475,-44.799880,-44.200375,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-50.980953,-47.242333,-53.325325,-50.277304,-54.762452,-52.813233,-51.462714,-54.337633,-56.151900,-51.673398,-61.257102,-62.998319,-48.975600,-54.582718,-52.647147,-52.246000,-48.118012,-44.135476,-51.387018,-44.339027,-44.004019,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.495133,-47.493440,-54.094074,-50.540061,-54.931944,-51.698775,-51.637748,-56.202823,-53.581400,-52.417639,-69.685128,-60.546937,-49.311614,-54.420612,-55.496263,-50.621867,-50.639453,-43.722148,-51.159143,-44.431264,-44.351764,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.649396,-47.583848,-54.515664,-50.630604,-54.519369,-50.602443,-51.753072,-57.945964,-51.308797,-53.064581,-71.268627,-58.334016,-49.292919,-54.082571,-58.484327,-49.358821,-53.953781,-43.489029,-50.074833,-44.890120,-45.037465,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-54.443551,-47.834344,-54.813308,-50.892948,-53.877505,-49.976502,-52.071279,-59.054407,-49.695831,-53.897802,-62.364871,-56.386476,-49.361988,-53.937228,-60.019951,-48.657641,-58.763519,-44.062555,-49.073225,-46.051339,-46.318147,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.693857,-48.205606,-54.962774,-51.373752,-53.214798,-49.893790,-52.575993,-58.682720,-48.793573,-54.838094,-58.119629,-54.681219,-49.566439,-54.069781,-58.129983,-48.348202,-66.316892,-45.473028,-48.554717,-47.839977,-48.060770,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.441,-54.571277,-48.727033,-54.953673,-51.979197,-52.660769,-50.226972,-53.089889,-57.285185,-48.406311,-55.572099,-55.428552,-53.198297,-49.724326,-54.332212,-55.681334,-48.134954,-84.022980,-47.438170,-48.538226,-50.110006,-50.125647,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.686,-54.257650,-49.356243,-54.942795,-52.744930,-52.397089,-50.996190,-53.682469,-56.007543,-48.631995,-56.224524,-53.820665,-52.279933,-50.113458,-54.896839,-54.244107,-48.246961,-67.931132,-50.135730,-49.168172,-52.382509,-52.131733,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
37.930,-53.807000,-49.879609,-54.722317,-53.277452,-52.154244,-51.759931,-53.962579,-54.838872,-48.951817,-56.312510,-52.513404,-51.467153,-50.234050,-55.286584,-53.048070,-48.195204,-62.185150,-52.643563,-49.877537,-53.792785,-53.606030,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.174,-53.415165,-50.365667,-54.403688,-53.568219,-51.956556,-52.455987,-53.955401,-53.820921,-49.290805,-55.899032,-51.346576,-50.714703,-50.107890,-55.470282,-51.868045,-48.016094,-58.529695,-54.710430,-50.553522,-54.162103,-54.490730,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.418,-53.411490,-51.151285,-54.433267,-54.033908,-52.168130,-53.445985,-54.130506,-53.347482,-50.091336,-55.636852,-50.810691,-50.525546,-50.385084,-55.942774,-51.358283,-48.366805,-56.217457,-57.072695,-51.650174,-54.238216,-55.139111,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.662,-53.219616,-51.672117,-54.475014,-54.413500,-52.475637,-54.447196,-54.322531,-53.226779,-51.172406,-55.464720,-50.691653,-50.707404,-50.889861,-56.555395,-51.176178,-49.005957,-54.601077,-59.482416,-52.695665,-53.896773,-55.100735,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
38.906,-53.083919,-52.155871,-54.492813,-54.615813,-52.746215,-55.267053,-54.332363,-53.126361,-52.195042,-55.122007,-50.612452,-50.897815,-51.328631,-56.981112,-51.016052,-49.705365,-53.356062,-61.718088,-53.529840,-53.520744,-54.712622,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.150,-52.991656,-52.582266,-54.359406,-54.517199,-52.819444,-55.727383,-53.988112,-52.804246,-52.902251,-54.387746,-50.270274,-50.810215,-51.428294,-56.972844,-50.540344,-50.216511,-52.206297,-62.643559,-53.921164,-53.091563,-54.030793,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.395,-52.934361,-52.967575,-54.167549,-54.264943,-52.794392,-55.964413,-53.457718,-52.411267,-53.459409,-53.471816,-49.838148,-50.616150,-51.375644,-56.716669,-49.926729,-50.724728,-51.203325,-61.150657,-53.994175,-52.576486,-53.113127,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.639,-53.101085,-53.504965,-54.141571,-54.117623,-52.896927,-56.223960,-53.003016,-52.196017,-54.106788,-52.637520,-49.554107,-50.557618,-51.409426,-56.471051,-49.387532,-51.487671,-50.542355,-58.260783,-54.002850,-52.110828,-52.216661,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
39.883,-53.407239,-54.113136,-54.277795,-54.111103,-53.128065,-56.531798,-52.678086,-52.214511,-54.889420,-51.967618,-49.493721,-50.707168,-51.600676,-56.311489,-48.999092,-52.604680,-50.224690,-55.396133,-54.023779,-51.576553,-51.317442,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-53.874453,-54.770720,-54.480233,-54.134011,-53.356715,-56.724780,-52.325834,-52.280715,-55.561655,-51.256229,-49.440344,-50.853189,-51.729262,-56.033886,-48.545912,-53.931466,-50.119720,-52.775189,-53.985973,-50.951215,-50.482984,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-54.640868,-55.561076,-54.804843,-54.228111,-53.588195,-56.772634,-51.948507,-52.366400,-56.025384,-50.514755,-49.414900,-51.002998,-51.823018,-55.626989,-48.161186,-55.552405,-50.275204,-50.592496,-54.045434,-50.375185,-49.882675,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-56.020787,-56.726391,-55.632358,-54.800265,-54.176261,-57.012496,-51.967281,-52.889516,-56.603029,-50.247864,-49.945032,-51.655733,-52.396351,-55.557831,-48.511845,-57.826259,-51.139548,-49.486987,-54.733886,-50.218155,-49.855448,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
