Target_index,0,1,2,3,4,5,6,7,8,9,Variable_index,Variable_name
Ping_index,2704,2705,2706,2707,2711,2713,2718,2721,2722,2728,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:33,13:39:33,13:39:33,13:39:33,13:39:34,13:39:34,13:39:34,13:39:35,13:39:35,13:39:35,
Ping_milliseconds,549.0,642.0,736.0,835.0,264.0,464.0,943.0,220.0,310.0,867.0,
41.836,-53.040990,-50.929806,-50.608501,-52.095803,-50.799548,-51.565913,-53.580033,-59.359941,-55.276229,-49.559741,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-52.546189,-51.155735,-50.571636,-52.366253,-50.816567,-51.752577,-50.587537,-58.896025,-54.935291,-49.806782,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-51.740532,-51.197978,-50.331434,-52.513501,-50.722494,-51.530630,-48.158375,-58.322775,-54.593039,-49.974174,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-51.188711,-51.350867,-50.039135,-52.505815,-50.516249,-51.249197,-46.234218,-57.653819,-54.214674,-50.371245,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-50.993596,-51.658213,-49.731207,-52.301349,-50.189360,-51.008321,-45.336800,-56.920371,-53.806919,-51.060113,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-50.617939,-51.863327,-49.366371,-51.972249,-49.853420,-50.581365,-44.732386,-56.294233,-53.564942,-51.798471,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-50.560362,-52.264477,-49.216769,-51.692284,-49.695383,-50.424695,-44.690910,-55.951532,-53.605964,-52.868202,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-51.010349,-52.868062,-49.325578,-51.480068,-49.720451,-50.675427,-45.010970,-55.881938,-53.868394,-54.014347,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-51.352140,-53.141357,-49.386343,-51.204602,-49.753995,-50.812558,-46.204536,-55.934529,-54.201210,-54.060700,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-52.146326,-53.305445,-49.570231,-50.988692,-49.873847,-51.144538,-47.582897,-56.152706,-54.580221,-52.964454,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-53.281162,-53.279573,-49.884328,-50.968441,-50.167511,-51.522605,-49.897105,-56.639889,-55.101465,-51.282314,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-55.162713,-53.292336,-50.444036,-51.238294,-50.700073,-52.138886,-52.488764,-57.444620,-55.771707,-49.856772,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-57.924523,-53.337879,-51.107707,-51.625026,-51.284743,-52.945910,-52.870743,-58.366004,-56.354362,-48.870702,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-60.409495,-52.877426,-51.451013,-51.895777,-51.679860,-53.263182,-49.022764,-59.209449,-56.690629,-47.764576,0,Comp2Files: TS pulse compressed wideband pings T1 (channel 1)
