Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,Variable_index,Variable_name
Ping_index,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2409,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:04,13:39:05,13:39:05,13:39:05,13:39:05,13:39:05,
Ping_milliseconds,331.0,425.0,516.0,610.0,703.0,794.0,887.0,981.0,076.0,170.0,261.0,354.0,537.0,
Range,7.8419814526,7.8164889724,7.8074720977,7.7925472373,7.7879981563,7.7804458021,7.8044326540,7.8059169033,7.8222794352,7.8402428029,7.8684772663,7.8939419649,7.9686016006,
Depth,7.6844200650,7.6772514489,7.7205591472,7.7162714070,7.7442495404,7.7368720295,7.7889701175,7.7882020520,7.8048745217,7.8151000440,7.8276925720,7.8383968594,7.8553956058,
40.615,-55.884078,-57.274443,-57.400980,-57.637175,-60.394623,-58.751755,-60.773439,-60.081749,-60.923914,-61.136751,-61.661829,-61.030849,-60.668735,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-56.419392,-57.290312,-57.612084,-57.894714,-60.588170,-59.096990,-60.947612,-60.449996,-61.494341,-61.689004,-62.139970,-61.782543,-61.216396,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-56.668277,-56.973324,-57.852487,-58.163628,-60.870410,-59.584860,-61.244728,-61.006472,-62.255179,-62.428985,-62.719855,-62.755318,-61.741599,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-56.980762,-56.573249,-58.145074,-58.407434,-61.116738,-60.119501,-61.486041,-61.583034,-63.056212,-63.228140,-63.320833,-63.936112,-62.394966,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-57.399407,-56.118334,-58.555949,-58.670220,-61.376264,-60.793864,-61.756992,-62.275290,-64.011577,-64.204190,-64.042438,-65.502507,-63.296285,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-58.129353,-55.775977,-59.208582,-59.026450,-61.709625,-61.739169,-62.167370,-63.206116,-65.281556,-65.527428,-65.042502,-67.733856,-64.703049,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-59.429287,-55.791725,-60.379957,-59.706111,-62.286750,-63.236899,-62.909148,-64.598919,-67.138705,-67.514225,-66.596539,-71.055227,-67.118897,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-60.660842,-55.662876,-61.894491,-60.522394,-62.976201,-65.340269,-64.039349,-66.548848,-69.788870,-70.430607,-68.776146,-74.187682,-70.759929,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.568,-62.082327,-55.710535,-63.897853,-61.524892,-63.700287,-68.277372,-65.610818,-69.186953,-73.659426,-75.007460,-71.891869,-72.497647,-76.650282,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.813,-63.539310,-56.030870,-66.449759,-62.781918,-64.415452,-72.435904,-67.835123,-72.910783,-79.889931,-84.418197,-76.201904,-69.033020,-76.825332,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.057,-64.440720,-56.402592,-69.212709,-64.271214,-65.109253,-77.334244,-71.271319,-78.861969,-84.697434,-84.836404,-78.443030,-66.676837,-71.378555,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.301,-65.038669,-57.186596,-71.512796,-66.107685,-65.824041,-77.763963,-76.927649,-90.759733,-78.917408,-77.200194,-75.152876,-65.548276,-68.511692,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.545,-65.402628,-58.467130,-72.661695,-68.120883,-66.469763,-75.817175,-85.728926,-85.761583,-75.840869,-74.347116,-72.291945,-65.354651,-67.419296,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
43.789,-65.009715,-59.837063,-73.100644,-69.980151,-67.009373,-75.285550,-80.783084,-80.845557,-74.432323,-73.078245,-70.522780,-65.815631,-67.318085,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.033,-64.321509,-61.612326,-73.515018,-71.478105,-67.503523,-76.187653,-76.356293,-78.681684,-73.761629,-72.463844,-69.415919,-66.764453,-68.069576,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.277,-63.548528,-63.870135,-74.132222,-72.746530,-68.271054,-78.603345,-74.330765,-77.511619,-73.530269,-72.215009,-68.790905,-68.246341,-69.565374,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.521,-63.199604,-67.087913,-75.058191,-73.932328,-69.488201,-82.565158,-73.415206,-76.661214,-73.448830,-72.042745,-68.466512,-70.136087,-71.591933,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
44.766,-63.419966,-71.945616,-76.442269,-74.616489,-71.062731,-85.685832,-72.725004,-75.496027,-73.036095,-71.488278,-68.059613,-71.901310,-73.045067,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
45.010,-63.683574,-78.799569,-78.854898,-73.694425,-72.921368,-82.157553,-71.742005,-73.641739,-71.992928,-70.306742,-67.282411,-72.737493,-72.200542,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
