Target_index,0,1,2,3,4,5,6,7,8,Variable_index,Variable_name
Ping_index,2605,2612,2613,2614,2615,2621,2622,2624,2626,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:39:24,13:39:24,13:39:24,13:39:25,13:39:25,13:39:25,13:39:25,13:39:26,13:39:26,
Ping_milliseconds,145.0,851.0,948.0,037.0,139.0,751.0,843.0,028.0,224.0,
Range,10.5782125600,10.4915304000,10.4915304000,10.5034865600,10.5154427200,10.6409824000,10.6738618400,10.7455988000,10.8352700000,
Depth,10.2583688265,10.3585658958,10.3492601942,10.3494743481,10.3567629848,10.4161838777,10.4736867389,10.4514750466,10.5154791810,
35.000,-48.682631,-52.103409,-60.885926,-55.760388,-52.295044,-53.291812,-48.605262,-55.100750,-52.293179,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-48.724571,-52.143010,-63.254725,-54.175767,-52.758152,-56.276626,-47.339097,-53.891096,-49.741286,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-48.736755,-51.849685,-64.107334,-52.539252,-53.106390,-59.798870,-46.296056,-52.675104,-47.408191,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-48.793411,-51.746138,-62.262443,-51.291356,-54.032554,-58.947551,-45.767425,-51.760352,-45.369789,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.508515,-52.522913,-59.090801,-51.084288,-56.489771,-54.590310,-46.427448,-51.619930,-44.227486,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-50.889979,-54.088747,-56.216136,-51.713733,-60.851143,-51.963509,-48.282309,-51.716552,-44.038866,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-52.382955,-55.888929,-53.637468,-52.450470,-68.346798,-50.315609,-50.942076,-51.072559,-44.396613,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-53.536791,-57.629083,-51.347750,-53.076234,-73.354718,-49.078303,-54.527093,-49.748197,-45.096378,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-54.359731,-58.919015,-49.720321,-53.877612,-63.199876,-48.440722,-59.968214,-48.679848,-46.400745,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
