Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Variable_index,Variable_name
Ping_index,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:23,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,13:37:24,
Ping_milliseconds,252.0,348.0,430.0,526.0,612.0,701.0,788.0,873.0,961.0,052.0,136.0,222.0,308.0,394.0,480.0,
Range,8.9044479565,8.8519874628,8.8611405648,8.8235403406,8.8205703262,8.8191624261,8.8161369995,8.8221323319,8.8221083309,8.8265168277,8.8430018332,8.8609877512,8.8728447669,8.9121199927,8.9526113415,
Depth,8.6536463937,8.6171476319,8.6102476399,8.6305779992,8.6964841913,8.6915364135,8.6978392778,8.7217949666,8.7364000389,8.7511895038,8.7748068999,8.7629774567,8.7794253845,8.8022429580,8.8385360194,
39.883,-59.657178,-61.383425,-58.269933,-57.407503,-58.835971,-58.896543,-58.389359,-58.045319,-58.679205,-57.676927,-59.839685,-56.816285,-60.412821,-57.650911,-54.015227,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.127,-58.892355,-60.819113,-58.477455,-57.053742,-58.574727,-58.520722,-57.944326,-57.766620,-58.501764,-57.465636,-59.680621,-56.602045,-60.551631,-56.829865,-53.834915,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.371,-58.434447,-60.348385,-58.883964,-56.759935,-58.353624,-58.080558,-57.449676,-57.418780,-58.243436,-57.212700,-59.365137,-56.394782,-60.539111,-56.020929,-53.682165,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.615,-58.466418,-60.240779,-59.744026,-56.987478,-58.493592,-58.026306,-57.336048,-57.413892,-58.263220,-57.268311,-59.212053,-56.576738,-60.681744,-55.612197,-54.009767,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
40.859,-58.406070,-59.932041,-60.425024,-56.995058,-58.597513,-57.782557,-57.088463,-57.286476,-58.188675,-57.314632,-58.965151,-56.734963,-60.563396,-55.125385,-54.306174,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.104,-57.893090,-59.248152,-60.726348,-56.933346,-58.672432,-57.531952,-56.869459,-57.194269,-58.116051,-57.448353,-58.693109,-56.991132,-60.244478,-54.690206,-54.779668,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.348,-57.404555,-58.487001,-60.910573,-56.837818,-58.702297,-57.219630,-56.618427,-57.036456,-57.913896,-57.528608,-58.259981,-57.247979,-59.633365,-54.225484,-55.380885,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.592,-56.932050,-57.657378,-60.921478,-56.666695,-58.681119,-56.842211,-56.341443,-56.816819,-57.580365,-57.561706,-57.694877,-57.503835,-58.783455,-53.738146,-56.148844,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
41.836,-56.648080,-56.889954,-60.801226,-56.345782,-58.608063,-56.348042,-56.001702,-56.488973,-57.083250,-57.511975,-57.006432,-57.701103,-57.745333,-53.203331,-57.060935,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.080,-56.805843,-56.512102,-60.765924,-56.211071,-58.719416,-56.070164,-55.914736,-56.341672,-56.684013,-57.598862,-56.439823,-58.047979,-56.849716,-52.931385,-58.407649,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
42.324,-56.568409,-55.993054,-60.114683,-55.893036,-58.724350,-55.790822,-55.868627,-56.188588,-56.243405,-57.650962,-55.896456,-58.245422,-55.983933,-52.748678,-59.780409,0,Comp3Files: TS pulse compressed wideband pings T1 (channel 1)
