Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Variable_index,Variable_name
Ping_index,3657,3658,3659,3660,3661,3662,3664,3665,3666,3667,3668,3669,3670,3671,3672,3673,3675,
Ping_date,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:58,13:40:58,13:40:58,13:40:58,13:40:58,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:40:59,13:41:00,
Ping_milliseconds,598.0,678.0,758.0,838.0,918.0,001.0,164.0,244.0,332.0,423.0,512.0,601.0,681.0,759.0,838.0,924.0,084.0,
Range,5.2547323200,5.2367980800,5.2158748000,5.2098967200,5.2009296000,5.1889734400,5.1590830400,5.1949515200,5.2128857600,5.2338090400,5.2547323200,5.2876117600,5.3444035200,5.3533706400,5.3892391200,5.4340747200,5.4938555200,
Depth,5.0965099046,5.0685859118,5.0815639319,5.0871566944,5.1035431828,5.1147121787,5.1105429837,5.1314952206,5.1515317606,5.1728601865,5.1908392031,5.1932088211,5.2437752886,5.2443757113,5.2410903918,5.2518130532,5.3383529177,
35.000,-51.135552,-54.345884,-49.452712,-45.034432,-43.104864,-45.368408,-47.897815,-40.958069,-41.493815,-43.991174,-47.728795,-47.019812,-48.326819,-44.317617,-43.001004,-46.392136,-58.011769,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.244,-50.473662,-55.940768,-49.296469,-44.503487,-42.399312,-44.453112,-47.314898,-40.722183,-40.793487,-43.076544,-46.718334,-46.236797,-48.169751,-43.858798,-42.135736,-45.686674,-57.372780,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.488,-49.817348,-57.001378,-48.788850,-43.446974,-41.305288,-43.365909,-46.205007,-39.965733,-39.657986,-41.881642,-45.536415,-45.029834,-47.332106,-43.020596,-40.998941,-44.842906,-56.774610,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.732,-49.138395,-57.213089,-48.247424,-42.197828,-40.146375,-42.399879,-45.146503,-39.207681,-38.590785,-40.846144,-44.549304,-43.906391,-46.277335,-42.081029,-39.775555,-43.887906,-56.175180,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
35.977,-49.034836,-57.053780,-48.333872,-41.458482,-39.567798,-42.122546,-44.813082,-39.098436,-38.230342,-40.567185,-44.328050,-43.581527,-45.746573,-41.688325,-39.124992,-43.461809,-56.099768,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.221,-49.615823,-56.592960,-48.966740,-41.256688,-39.548346,-42.439260,-45.126730,-39.472233,-38.403023,-40.849668,-44.709149,-43.957224,-45.735160,-41.869658,-39.089706,-43.664545,-56.546532,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.465,-50.523287,-55.381728,-49.460003,-41.145846,-39.634998,-42.861395,-45.631580,-39.716981,-38.493785,-41.063132,-45.125689,-44.424511,-45.760929,-42.223382,-39.223926,-44.082080,-57.066596,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.709,-51.501114,-53.420671,-49.385292,-41.003819,-39.671139,-43.172203,-46.227019,-39.689185,-38.354588,-41.011028,-45.388803,-44.810024,-45.728464,-42.577379,-39.328033,-44.443561,-57.412264,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
36.953,-52.724164,-51.511156,-49.045048,-41.190932,-39.913816,-43.504891,-47.130211,-39.713400,-38.294984,-40.940332,-45.704990,-45.434703,-46.013272,-43.146652,-39.689944,-44.975978,-57.897356,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
37.197,-54.023993,-49.984288,-48.677159,-41.726688,-40.358632,-43.822834,-48.360583,-39.881936,-38.392420,-40.907731,-46.080196,-46.278924,-46.669923,-43.879341,-40.261493,-45.554421,-58.592866,0,Comp0Files: TS pulse compressed wideband pings T1 (channel 1)
