"","x"
"1","Startup"
"2","2.84999999999991"
"3","DataRead"
"4","12.6799999999998"
"5","Lines"
"6","1.61999999999989"
"7","FishTracking"
"8","35.4100000000003"
"9","FreqResp"
"10","18.2799999999997"
"11","Total_Time"
"12","70.9200000000001"
